"","BALANCE","PURCHASES","INSTALLMENTS_PURCHASES","PURCHASES_FREQUENCY","CASH_ADVANCE_FREQUENCY","cluster"
"1",-0.384490537578041,-0.473180793071301,-0.45881247557658,-1.23606732745714,1.79589289123444,7
"2",-0.742517686037103,-0.473180793071301,-0.45881247557658,-1.23606732745714,-0.268947021674988,8
"3",-0.7106484196495,-0.367510008918212,-0.45881247557658,-0.782963921734017,-0.681913022012143,8
"4",-0.691706561648112,-0.473180793071301,-0.45881247557658,-1.23606732745714,0.144023934273994,8
"5",-0.730316732532123,-0.473180793071301,-0.45881247557658,-1.23606732745714,0.219106409057192,2
"6",-0.597646864904774,-0.473180793071301,-0.45881247557658,-1.23606732745714,-0.268947021674988,8
"7",-0.729396079056947,-0.473180793071301,-0.45881247557658,-1.23606732745714,0.556989934611149,2
"8",-0.743581462296969,-0.367030106667036,-0.45881247557658,-0.613049521570041,-0.681913022012143,8
"9",-0.712977350189614,-0.466074548198123,-0.45881247557658,-1.02839555618518,0.969955934948304,2
"10",-0.756949291393239,-0.343976340831716,-0.45881247557658,-1.02839555618518,-0.681913022012143,8
"11",-0.762853116760037,-0.453301765205296,-0.45881247557658,-0.880057508674686,-0.681913022012143,8
"12",-0.760158663462511,-0.430515637163901,-0.358010637893731,0.00996828431705807,-0.681913022012143,10
"13",-0.742309079439007,-0.437649568705415,-0.45881247557658,-1.02839555618518,-0.681913022012143,8
"14",-0.690781427771816,-0.473180793071301,-0.45881247557658,-1.23606732745714,-0.268947021674988,8
"15",-0.636254537663333,-0.459337458902774,-0.45881247557658,-1.00951562459558,1.57063555566119,7
"16",-0.695848138696437,0.132395860130908,-0.45881247557658,1.0483321248193,-0.681913022012143,5
"17",-0.72589766647641,-0.327825784301768,-0.45881247557658,-1.02839555618518,-0.681913022012143,8
"18",-0.662813502273571,-0.473180793071301,-0.45881247557658,-1.23606732745714,0.144023934273994,8
"19",-0.699507349909772,0.261701830154395,0.04325611938022,0.632986090204157,-0.681913022012143,5
"20",-0.709449118055815,-0.43488090187171,-0.45881247557658,-0.820721292841999,0.144023934273994,8
"21",-0.626767948971176,-0.473180793071301,-0.45881247557658,-1.23606732745714,-0.268947021674988,8
"22",-0.657293094068445,0.069810146354998,-0.124212735113209,0.508382529026737,0.804770525935807,6
"23",-0.639724625748305,-0.162499458771775,-0.45881247557658,0.217640055589016,0.556989934611149,10
"24",-0.757858753170954,-0.441110402247547,-0.45881247557658,-1.02839555618518,-0.681913022012143,8
"25",-0.744640001321529,-0.426584130260039,-0.45881247557658,-0.405377750298082,-0.681913022012143,10
"26",-0.66527225564528,0.34080725603808,1.46433744517343,1.25600389609126,-0.681913022012143,1
"27",-0.753426409590397,-0.241286487969584,-0.45881247557658,-0.1977034869549,-0.681913022012143,10
"28",-0.597181681973555,-0.288326137474238,-0.45881247557658,-0.1977034869549,-0.681913022012143,10
"29",-0.57202184274728,-0.403964122228666,-0.295279319050219,-0.556412218872456,-0.681913022012143,8
"30",-0.703896702349921,-0.406317489037316,-0.45881247557658,-0.613049521570041,-0.681913022012143,8
"31",-0.626620335287036,0.73700347994132,2.40040123313033,1.25600389609126,-0.681913022012143,3
"32",-0.643674494215794,0.674431609499578,2.25256725963049,1.25600389609126,-0.681913022012143,3
"33",-0.76300017307827,-0.473180793071301,-0.45881247557658,-1.23606732745714,0.0260308166851915,8
"34",-0.763632252263492,-0.473180793071301,-0.45881247557658,-1.23606732745714,-0.268947021674988,8
"35",-0.753068276703231,-0.473180793071301,-0.45881247557658,-1.23606732745714,0.556989934611149,2
"36",-0.761800698262132,-0.473180793071301,-0.45881247557658,-1.23606732745714,0.0260308166851915,8
"37",-0.756554532694299,-0.359531633992418,-0.45881247557658,-0.782963921734017,-0.681913022012143,8
"38",-0.76127855711623,-0.473180793071301,-0.45881247557658,-1.23606732745714,0.144023934273994,8
"39",-0.740284262626707,-0.473180793071301,-0.45881247557658,-1.23606732745714,0.556989934611149,2
"40",-0.761297494672779,-0.46353660360056,-0.45881247557658,-0.820721292841999,-0.681913022012143,8
"41",-0.730982402080028,-0.302446338326136,-0.45881247557658,-0.880057508674686,0.0260308166851915,8
"42",-0.757677550078525,-0.473180793071301,-0.45881247557658,-1.23606732745714,0.144023934273994,8
"43",-0.759199508314787,-0.473180793071301,-0.45881247557658,-1.23606732745714,0.556989934611149,2
"44",-0.73972825386676,-0.473180793071301,-0.45881247557658,-1.23606732745714,2.0712068618671,7
"45",-0.756691808386123,-0.473180793071301,-0.45881247557658,-1.23606732745714,1.38292689089729,7
"46",-0.762019421433211,-0.440879680011404,-0.45881247557658,-1.00951562459558,-0.681913022012143,8
"47",-0.732007019567299,-0.473180793071301,-0.45881247557658,-1.23606732745714,-0.268947021674988,8
"48",-0.757398544062387,-0.430654070505586,-0.358337704206784,-0.405377750298082,-0.681913022012143,10
"49",-0.750330713443285,-0.357104436068203,-0.249980634692416,0.321477187260607,-0.681913022012143,10
"50",-0.745638453151734,-0.473180793071301,-0.45881247557658,-1.23606732745714,-0.231403306477476,8
